DE_TransE_i,DE_SimplE_i,DE_DistMult_i,TERO_i,ATISE_i,DE_TransE,DE_SimplE,DE_DistMult,TERO,ATISE
0.183904527,0.242189995,0.241188707,0.215060858,0.21098441,0.999578829,1,1,1,1
0.207081957,0.165466988,0.220215949,0.1879039,0.174045236,0.996209462,0.991580129,0.999438044,0.999579125,0.994948077
0.183904527,0.197262545,0.241188707,0.215060858,0.201830528,0.99985961,0.999719338,1,1,0.999438675
0.214644245,0.198569064,0.225706712,0.208483304,0.188688333,0.990874631,0.978108336,0.997611689,0.999579125,0.990738142
0.180380262,0.258652829,0.370572057,0.220507584,0.19163464,0.884318405,0.820937412,0.424416971,0.300645342,0.220600617
0.337303107,0.258042817,0.386576773,0.393921517,0.367523965,0.985820581,0.980353635,0.970918797,0.999438833,0.994527084
0.180380262,0.374786947,0.452672918,0.366461647,0.268726356,0.998736487,0.95958462,0.81708345,0.990600449,0.9869492
0.33859244,0.41166472,0.50455467,0.392288067,0.367213645,0.986943703,0.983019927,0.956869907,0.961139169,0.981335953
0.217147298,0.220515614,0.227212401,0.225186433,0.189025377,0.99985961,1,1,1,1
0.097243139,0.169073065,0.181442545,0.1870449,0.180671713,0.987786045,0.995509402,0.998595111,0.997755331,0.998877351
0.217147298,0.146582339,0.22072896,0.225186433,0.183367758,0.999719219,0.999719338,0.999859511,1,0.999859669
0.21050001,0.154966424,0.21123374,0.192699331,0.176362945,0.992980486,0.96197025,0.995223377,0.996492705,0.996632052
0.13127869,0.219159716,0.290657682,0.198101118,0.188144287,0.999719219,0.999859669,0.999859511,0.999859708,1
0.178078135,0.207362515,0.270807903,0.184389508,0.164025038,0.997051804,0.998877351,0.999157067,0.997615039,0.997474039
0.13127869,0.227656287,0.292406408,0.215217287,0.188144287,0.999578829,1,1,1,1
0.218174889,0.215735978,0.292215717,0.201205489,0.186378374,1,0.998035363,0.999859511,0.999859708,0.999579006
0.181733186,0.189666721,0.281167267,0.209617506,0.192924341,0.979924189,0.999859669,0.998454622,1,1
0.219578035,0.216040803,0.323856199,0.205029779,0.180956475,0.98048575,0.999859669,0.994239955,0.999859708,0.999438675
0.181733186,0.222225109,0.379144291,0.209617506,0.192924341,0.999578829,1,1,1,1
0.239578285,0.219500473,0.369169139,0.209617506,0.189767015,0.976133652,0.999438675,0.999438044,1,0.999579006
0.155614009,0.195711247,0.289978132,0.21242684,0.185941147,0.999017268,1,0.999016578,0.999298541,0.999438675
0.179238174,0.17976693,0.249186519,0.206022709,0.184408726,0.999578829,0.998596688,0.997752178,0.999438833,0.999298344
0.155614009,0.180090719,0.312220859,0.201500585,0.188308001,0.999578829,0.999859669,0.999719022,0.999859708,0.999719338
0.173934303,0.189899429,0.277475155,0.197585943,0.167678638,0.992980486,0.998737019,0.99227311,0.998316498,0.998737019
0.212041066,0.141703931,0.179903912,0.213507281,0.199845534,1,1,1,1,1
0.146127985,0.083984132,0.125713872,0.18317348,0.177611795,0.993401657,0.998877351,0.999578533,0.999017957,0.995649733
0.212041066,0.141703931,0.179903912,0.213507281,0.199845534,1,1,1,1,1
0.207379259,0.12809679,0.163827475,0.177934753,0.167880248,0.987505265,0.993544766,0.983984265,0.991301908,0.955094022
0.133062317,0.205706364,0.283406672,0.234910515,0.197053013,0.987786045,0.989475161,0.954622085,0.973765432,0.99649172
0.268589524,0.236453245,0.310180063,0.301492947,0.215770945,0.993261266,0.975442043,0.976257376,0.999438833,0.996912714
0.133062317,0.190851877,0.273806705,0.25158404,0.199267248,0.995788291,0.993123772,0.974290531,0.989337823,0.998316026
0.263128363,0.294438053,0.400528544,0.215605637,0.191389691,0.973747017,0.987791187,0.96543973,0.955667789,0.977968004
0.133062317,0.248803098,0.332140439,0.224062238,0.190544319,0.999578829,1,1,1,1
0.229770777,0.241335484,0.32002303,0.192544322,0.178741049,0.997332585,0.999579006,0.999859511,0.999719416,0.999298344
0.133062317,0.237009388,0.332140439,0.224062238,0.190051726,0.999157658,0.999719338,1,1,0.999859669
0.27036153,0.216092919,0.326716182,0.224062238,0.190544319,1,0.997895032,0.998876089,1,1
0.219987781,0.161013805,0.255899619,0.243584116,0.197136892,0.998174926,0.996351389,0.92582186,0.984006734,0.995088409
0.308658258,0.244369308,0.350179172,0.279014898,0.244769576,0.99985961,0.993264103,0.981033998,0.985970819,0.998596688
0.224611243,0.280226063,0.416406654,0.315112192,0.269786609,0.99985961,0.999719338,0.986934532,0.997474747,0.999719338
0.284048648,0.283483986,0.403012815,0.273785289,0.212702267,0.997613365,0.991299467,0.980472043,0.951178451,0.952427729
0.183303838,0.185667993,0.254778989,0.210873678,0.188635999,0.99508634,0.991439798,0.986232088,0.998176207,0.990878473
0.259366355,0.276904005,0.29185401,0.284600824,0.240429289,0.999719219,0.995790065,0.985108176,0.999859708,0.999298344
0.183303838,0.21174379,0.309283813,0.277202993,0.203267354,0.999157658,0.999017682,0.999297555,0.999158249,0.997193376
