FACT_ID,HEAD,RELATION,TAIL,TIME,ANSWER
FACT_1_0,0,Reject,Party Member (Afghanistan),2014-04-07,Election Commission (Afghanistan)
FACT_1_1,Election Commission (Afghanistan),0,Party Member (Afghanistan),2014-04-07,Reject
FACT_1_2,Election Commission (Afghanistan),Reject,0,2014-04-07,Party Member (Afghanistan)
FACT_1_3,Election Commission (Afghanistan),Reject,Party Member (Afghanistan),0,2014-04-07
FACT_2_0,0,Make a visit,Laos,2014-09-23,Narongchai Akrasanee
FACT_2_1,Narongchai Akrasanee,0,Laos,2014-09-23,Make a visit
FACT_2_2,Narongchai Akrasanee,Make a visit,0,2014-09-23,Laos
FACT_2_3,Narongchai Akrasanee,Make a visit,Laos,0,2014-09-23
FACT_3_0,0,Occupy territory,Citizen (Yemen),2014-09-22,Armed Rebel (Yemen)
FACT_3_1,Armed Rebel (Yemen),0,Citizen (Yemen),2014-09-22,Occupy territory
FACT_3_2,Armed Rebel (Yemen),Occupy territory,0,2014-09-22,Citizen (Yemen)
FACT_3_3,Armed Rebel (Yemen),Occupy territory,Citizen (Yemen),0,2014-09-22
FACT_4_0,0,Express intent to cooperate,Umar al Bashir,2014-10-19,Abdel Fattah Al-Sisi
FACT_4_1,Abdel Fattah Al-Sisi,0,Umar al Bashir,2014-10-19,Express intent to cooperate
FACT_4_2,Abdel Fattah Al-Sisi,Express intent to cooperate,0,2014-10-19,Umar al Bashir
FACT_4_3,Abdel Fattah Al-Sisi,Express intent to cooperate,Umar al Bashir,0,2014-10-19
FACT_5_0,0,Host a visit,Cabinet / Council of Ministers / Advisors (United States),2014-01-05,Saud bin Faisal bin Abdul-Aziz
FACT_5_1,Saud bin Faisal bin Abdul-Aziz,0,Cabinet / Council of Ministers / Advisors (United States),2014-01-05,Host a visit
FACT_5_2,Saud bin Faisal bin Abdul-Aziz,Host a visit,0,2014-01-05,Cabinet / Council of Ministers / Advisors (United States)
FACT_5_3,Saud bin Faisal bin Abdul-Aziz,Host a visit,Cabinet / Council of Ministers / Advisors (United States),0,2014-01-05
FACT_6_0,0,Express intent to meet or negotiate,China,2014-03-28,Chuck Hagel
FACT_6_1,Chuck Hagel,0,China,2014-03-28,Express intent to meet or negotiate
