DE_TransE_Rank,DE_TransE_Counts,DE_SimplE_Rank,DE_SimplE_Counts,DE_DistMult_Rank,DE_DistMult_Counts,TERO_Rank,TERO_Counts,ATISE_Rank,ATISE_Counts
1,3414,1,8660,1,7673,1,9579,1,9022
10,471,10,462,10,447,10,418,10,649
100,54,100,41,100,64,100,32,100,62
1000,1,1000,1,1002,1,1000,2,1000,1
1001,2,1001,2,101,52,1002,1,1005,1
1004,1,1005,1,1013,1,1005,1,1007,1
1007,1,1006,1,1016,1,1006,1,1008,1
101,51,1007,2,1017,1,101,32,101,30
1012,2,1008,1,1018,1,1015,1,1010,3
1019,1,101,49,102,53,102,34,1011,1
102,46,1011,2,103,69,1020,1,1012,2
1022,1,1012,1,1033,1,1021,1,1013,1
1023,1,1013,1,1039,1,1023,1,1017,2
1024,1,1014,1,104,41,1024,1,1019,2
1025,2,1015,1,1044,3,1026,1,102,21
1026,1,102,46,1045,2,1027,3,1021,1
1028,2,1021,2,1048,1,1029,1,1022,1
1029,1,1028,1,105,58,103,34,1023,1
103,47,1029,2,1052,1,1033,1,1025,1
1034,2,103,42,1054,1,1034,2,1028,1
1037,1,1032,1,1056,2,1038,1,103,41
104,42,1036,1,1058,5,1039,1,1032,1
1043,1,1037,1,106,65,104,29,1034,1
1045,2,1038,2,1060,1,105,24,1035,1
1046,1,1039,1,1067,1,1050,1,1036,1
1048,1,104,46,1069,1,1055,1,104,33
1049,1,1044,1,107,56,1057,1,1041,1
105,51,1047,1,1071,1,1059,1,1042,1
1050,1,105,53,1072,2,106,25,1043,1
1051,1,1051,1,1073,3,1060,1,1045,1
1053,1,1058,3,1074,1,1061,1,1046,1
1057,1,106,48,1079,1,1063,1,1049,1
106,34,1060,2,108,56,1067,1,105,22
1060,1,1061,1,1085,1,107,18,1051,1
1061,1,1064,1,1087,1,1071,1,1052,2
1065,3,1066,1,1089,1,1072,1,1056,1
1067,1,1067,2,109,57,1076,1,1057,2
107,30,107,40,1090,2,1079,2,1059,1
108,49,1074,2,1091,1,108,25,106,43
1080,1,1076,2,11,373,1082,1,1063,1
1084,1,1078,1,110,49,1084,1,1065,1
1088,1,1079,1,1100,1,1087,2,1069,1
109,41,108,45,1101,1,109,33,107,25
1091,1,1081,1,1103,2,1090,1,1071,1
1092,1,1082,3,1104,1,1092,1,1072,1
